16:27:02,563 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.endTransaction(294) | Rolled back transaction after test execution for test context [[TestContext@144f3ba2 testClass = DeptServiceTest, testInstance = com.metecyu.yusr.service.DeptServiceTest@f3f348b, testMethod = addNoMainDeptUser@DeptServiceTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@e31bcc8 testClass = DeptServiceTest, locations = '{classpath:/applicationContext.xml}', classes = '{}', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader']]]
16:27:02,590 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.startNewTransaction(274) | Began transaction (3): transaction manager [org.springframework.orm.hibernate3.HibernateTransactionManager@3c03dfcb]; rollback [true]
16:27:02,816 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.endTransaction(294) | Rolled back transaction after test execution for test context [[TestContext@144f3ba2 testClass = DeptServiceTest, testInstance = com.metecyu.yusr.service.DeptServiceTest@4ad61301, testMethod = adjustUserOrder@DeptServiceTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@e31bcc8 testClass = DeptServiceTest, locations = '{classpath:/applicationContext.xml}', classes = '{}', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader']]]
16:27:02,838 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.startNewTransaction(274) | Began transaction (4): transaction manager [org.springframework.orm.hibernate3.HibernateTransactionManager@3c03dfcb]; rollback [true]
16:27:02,973 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.endTransaction(294) | Rolled back transaction after test execution for test context [[TestContext@144f3ba2 testClass = DeptServiceTest, testInstance = com.metecyu.yusr.service.DeptServiceTest@c77a748, testMethod = delUserDeptRel@DeptServiceTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@e31bcc8 testClass = DeptServiceTest, locations = '{classpath:/applicationContext.xml}', classes = '{}', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader']]]
16:27:02,998 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.startNewTransaction(274) | Began transaction (5): transaction manager [org.springframework.orm.hibernate3.HibernateTransactionManager@3c03dfcb]; rollback [true]
16:27:03,074 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.endTransaction(294) | Rolled back transaction after test execution for test context [[TestContext@144f3ba2 testClass = DeptServiceTest, testInstance = com.metecyu.yusr.service.DeptServiceTest@22fe135d, testMethod = adjustDeptOrder2@DeptServiceTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@e31bcc8 testClass = DeptServiceTest, locations = '{classpath:/applicationContext.xml}', classes = '{}', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader']]]
16:27:03,103 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.startNewTransaction(274) | Began transaction (6): transaction manager [org.springframework.orm.hibernate3.HibernateTransactionManager@3c03dfcb]; rollback [true]
16:27:03,150 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.endTransaction(294) | Rolled back transaction after test execution for test context [[TestContext@144f3ba2 testClass = DeptServiceTest, testInstance = com.metecyu.yusr.service.DeptServiceTest@51b1ab1d, testMethod = adjustDeptOrder3@DeptServiceTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@e31bcc8 testClass = DeptServiceTest, locations = '{classpath:/applicationContext.xml}', classes = '{}', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader']]]
16:27:03,164 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final void org.springframework.test.context.junit4.AbstractJUnit4SpringContextTests.setApplicationContext(org.springframework.context.ApplicationContext)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:27:03,216 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.startNewTransaction(274) | Began transaction (1): transaction manager [org.springframework.orm.hibernate3.HibernateTransactionManager@3c03dfcb]; rollback [true]
16:27:03,294 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.endTransaction(294) | Rolled back transaction after test execution for test context [[TestContext@37d6d61d testClass = UserServiceTest, testInstance = com.metecyu.yusr.service.UserServiceTest@7983268e, testMethod = testSave@UserServiceTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@115872f5 testClass = UserServiceTest, locations = '{classpath:/applicationContext.xml}', classes = '{}', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader']]]
16:27:03,313 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.startNewTransaction(274) | Began transaction (2): transaction manager [org.springframework.orm.hibernate3.HibernateTransactionManager@3c03dfcb]; rollback [true]
16:27:03,405 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.endTransaction(294) | Rolled back transaction after test execution for test context [[TestContext@37d6d61d testClass = UserServiceTest, testInstance = com.metecyu.yusr.service.UserServiceTest@2e027538, testMethod = testAdd@UserServiceTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@115872f5 testClass = UserServiceTest, locations = '{classpath:/applicationContext.xml}', classes = '{}', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader']]]
16:27:03,439 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.startNewTransaction(274) | Began transaction (1): transaction manager [org.springframework.orm.hibernate3.HibernateTransactionManager@3c03dfcb]; rollback [false]
16:27:03,618 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.endTransaction(294) | Committed transaction after test execution for test context [[TestContext@10b173c3 testClass = TestAfter, testInstance = com.metecyu.yusr.testUtil.TestAfter@72270fc4, testMethod = addTestDate@TestAfter, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@627c4768 testClass = TestAfter, locations = '{classpath:/applicationContext.xml}', classes = '{}', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader']]]
16:27:03,637 INFO - org.springframework.context.support.AbstractApplicationContext.doClose(1020) | Closing org.springframework.context.support.GenericApplicationContext@30e3c624: startup date [Tue Apr 29 16:26:54 CST 2014]; root of context hierarchy
16:27:03,639 INFO - org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.destroySingletons(433) | Destroying singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@5097d026: defining beans [sessionFactory,dataSource,transactionManager,txAdvice,org.springframework.aop.config.internalAutoProxyCreator,allServiceMethod,org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0,org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor#0,dataCenter,deptDAO,userDAO,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,deptService,userService,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0]; root of factory hierarchy
16:27:03,641 INFO - org.springframework.orm.hibernate3.AbstractSessionFactoryBean.destroy(246) | Closing Hibernate SessionFactory
16:27:03,641 INFO - org.hibernate.impl.SessionFactoryImpl.close(769) | closing
